Colony,Fragment,Treatment,Date,Time,F,Fm.,Y.II.
KP ,KP 2,100,2/26/2017,3,0.1662,0.2819,0.41
KP ,KP 10,100,2/26/2017,3,0.1853,0.3221,0.425
DP ,DP 6,400,2/26/2017,3,0.1647,0.2505,0.342
DP ,DP 3,400,2/26/2017,3,0.1353,0.2034,0.335
DP ,DP 9,400,2/26/2017,3,0.1676,0.2475,0.323
EP ,EP 10,400,2/26/2017,3,0.1358,0.2162,0.372
EP ,EP 3,400,2/26/2017,3,0.1735,0.276,0.371
EP ,EP 11,400,2/26/2017,3,0.1627,0.2588,0.371
HP ,HP 4,400,2/26/2017,3,0.1588,0.277,0.427
HP ,HP 9,400,2/26/2017,3,0.1387,0.226,0.386
HP ,HP 5,400,2/26/2017,3,0.1623,0.2907,0.442
IP ,IP 7,400,2/26/2017,3,0.1814,0.2814,0.355
IP ,IP 10,400,2/26/2017,3,0.1451,0.2338,0.379
IP ,IP 5,400,2/26/2017,3,0.174,0.2902,0.4
JP ,JP 2,400,2/26/2017,3,0.1721,0.2824,0.391
JP ,JP 9,400,2/26/2017,3,0.1387,0.2221,0.375
JP ,JP 4,400,2/26/2017,3,0.1642,0.2804,0.414
KP ,KP 8,400,2/26/2017,3,0.1691,0.2716,0.377
KP ,KP 7,400,2/26/2017,3,0.1412,0.2505,0.446
KP ,KP 3,400,2/26/2017,3,0.1598,0.2882,NA
DP ,DP 10,700,2/26/2017,3,0.1613,0.2333,0.309
DP ,DP 11,700,2/26/2017,3,0.1495,0.2083,0.282
DP ,DP 7,700,2/26/2017,3,0.1676,0.2515,0.333
EP ,EP 5,700,2/26/2017,3,0.174,0.249,0.301
EP ,EP 7,700,2/26/2017,3,0.1603,0.2397,0.331
EP ,EP 6,700,2/26/2017,3,0.1426,0.2113,0.325
HP ,HP 6,700,2/26/2017,3,0.1564,0.2642,0.408
HP ,HP 11,700,2/26/2017,3,0.1358,0.2255,0.398
HP ,HP 2,700,2/26/2017,3,0.1441,0.2515,0.427
IP ,IP 3,700,2/26/2017,3,0.1505,0.2471,0.391
IP ,IP 4,700,2/26/2017,3,0.1338,0.2113,0.367
IP ,IP 9,700,2/26/2017,3,0.1319,0.2098,0.371
JP ,JP 12,700,2/26/2017,3,0.1578,0.2235,0.294
JP ,JP 3,700,2/26/2017,3,0.1848,0.2745,0.327
JP ,JP 10,700,2/26/2017,3,0.1824,0.2554,0.286
KP ,KP 1,700,2/26/2017,3,0.1392,0.2172,0.359
KP ,KP 11,700,2/26/2017,3,0.1309,0.2098,0.376
KP ,KP 4,700,2/26/2017,3,0.1564,0.2417,0.353
DP ,DP 1,1000,2/26/2017,3,0.1525,0.2176,0.3
DP ,DP 8,1000,2/26/2017,3,0.1417,0.2034,0.304
DP ,DP 5,1000,2/26/2017,3,0.1676,0.2446,0.315
EP ,EP 1,1000,2/26/2017,3,0.1642,0.2284,0.281
EP ,EP 8,1000,2/26/2017,3,0.1402,0.1961,0.285
EP ,EP 9,1000,2/26/2017,3,0.1662,0.2485,0.331
HP ,HP 8,1000,2/26/2017,3,0.1387,0.226,0.386
HP ,HP 7,1000,2/26/2017,3,0.1353,0.2314,0.415
HP ,HP 12,1000,2/26/2017,3,0.1618,0.2642,0.388
IP ,IP 8,1000,2/26/2017,3,0.1529,0.2358,0.351
IP ,IP 11,1000,2/26/2017,3,0.1441,0.2333,0.382
IP ,IP 1,1000,2/26/2017,3,0.148,0.2265,0.346
JP ,JP 11,1000,2/26/2017,3,0.1735,0.2632,0.341
JP ,JP 8,1000,2/26/2017,3,0.1343,0.2103,0.361
JP ,JP 5,1000,2/26/2017,3,0.1632,0.2559,0.362
KP ,KP 12,1000,2/26/2017,3,0.1451,0.223,0.349
KP ,KP 9,1000,2/26/2017,3,0.1343,0.2098,0.36
KP ,KP 6,1000,2/26/2017,3,0.1426,0.223,0.36
DP ,DP 12,100,3/6/2017,4,0.1779,0.2681,0.336
DP ,DP 4,100,3/6/2017,4,0.1392,0.2191,0.365
DP ,DP 2,100,3/6/2017,4,0.1574,0.252,0.375
EP ,EP 12,100,3/6/2017,4,0.177,0.2706,0.346
EP ,EP 2,100,3/6/2017,4,0.1314,0.2103,0.375
EP ,EP 4,100,3/6/2017,4,0.1441,0.2328,0.381
HP ,HP 3,100,3/6/2017,4,0.1745,0.3382,0.484
HP ,HP 1,100,3/6/2017,4,0.1569,0.2887,0.457
HP ,HP 10,100,3/6/2017,4,0.1789,0.3206,0.442
IP ,IP 13,100,3/6/2017,4,0.1642,0.2873,0.428
IP ,IP 6,100,3/6/2017,4,0.1392,0.2422,0.425
IP ,IP 2,100,3/6/2017,4,0.152,0.2627,0.422
JP ,JP 7,100,3/6/2017,4,0.1676,0.2799,0.401
JP ,JP 1,100,3/6/2017,4,0.1373,0.2314,0.407
JP ,JP 6,100,3/6/2017,4,0.1583,0.2676,0.408
KP ,KP 5,100,3/6/2017,4,0.1809,0.3152,0.426
KP ,KP 2,100,3/6/2017,4,0.1515,0.2799,0.459
KP ,KP 10,100,3/6/2017,4,0.1799,0.3103,0.42
DP ,DP 6,400,3/6/2017,4,0.1549,0.2314,0.331
DP ,DP 3,400,3/6/2017,4,0.1804,0.2681,0.327
DP ,DP 9,400,3/6/2017,4,0.1667,0.2382,0.3
EP ,EP 10,400,3/6/2017,4,0.1324,0.2,0.338
EP ,EP 3,400,3/6/2017,4,0.1515,0.2176,0.304
EP ,EP 11,400,3/6/2017,4,0.1426,0.2216,0.356
HP ,HP 4,400,3/6/2017,4,0.1711,0.3034,0.436
HP ,HP 9,400,3/6/2017,4,0.1539,0.2534,0.393
HP ,HP 5,400,3/6/2017,4,0.174,0.3093,0.437
IP ,IP 7,400,3/6/2017,4,0.1054,0.198,0.468
IP ,IP 10,400,3/6/2017,4,0.1431,0.2799,0.489
IP ,IP 5,400,3/6/2017,4,0.1725,0.3265,0.471
JP ,JP 2,400,3/6/2017,4,0.1784,0.2833,0.37
JP ,JP 9,400,3/6/2017,4,0.1373,0.225,0.39
JP ,JP 4,400,3/6/2017,4,0.1569,0.2696,0.418
KP ,KP 8,400,3/6/2017,4,0.1868,0.3083,0.394
KP ,KP 7,400,3/6/2017,4,0.152,0.2608,0.417
KP ,KP 3,400,3/6/2017,4,0.1775,0.3118,0.431
DP ,DP 10,700,3/6/2017,4,0.1574,0.2098,0.25
DP ,DP 11,700,3/6/2017,4,0.1725,0.2319,0.256
DP ,DP 7,700,3/6/2017,4,0.1412,0.1951,0.276
EP ,EP 5,700,3/6/2017,4,0.1765,0.2289,0.229
EP ,EP 7,700,3/6/2017,4,0.1559,0.2137,0.271
EP ,EP 6,700,3/6/2017,4,0.1353,0.1882,0.281
HP ,HP 6,700,3/6/2017,4,0.1725,0.2828,0.39
HP ,HP 11,700,3/6/2017,4,0.1466,0.2407,0.391
HP ,HP 2,700,3/6/2017,4,0.149,0.248,0.399
IP ,IP 3,700,3/6/2017,4,0.1706,0.2887,0.409
IP ,IP 4,700,3/6/2017,4,0.1471,0.2348,0.374
IP ,IP 9,700,3/6/2017,4,0.1505,0.2431,0.381
