Colony,Fragment,Treatment,Date,Time,F,Fm',Y(II),Buoyant
JP ,JP 2,400,2/26/2017,2,0.1721,0.2824,0.391,18.616
JP ,JP 9,400,2/26/2017,2,0.1387,0.2221,0.375,16.86
JP ,JP 4,400,2/26/2017,2,0.1642,0.2804,0.414,17.051
KP ,KP 8,400,2/26/2017,2,0.1691,0.2716,0.377,17.782
KP ,KP 7,400,2/26/2017,2,0.1412,0.2505,0.446,21.607
KP ,KP 3,400,2/26/2017,2,0.1598,0.2882,,17.292
DP ,DP 10,700,2/26/2017,2,0.1613,0.2333,0.309,21.933
DP ,DP 11,700,2/26/2017,2,0.1495,0.2083,0.282,19.003
DP ,DP 7,700,2/26/2017,2,0.1676,0.2515,0.333,20.977
EP ,EP 5,700,2/26/2017,2,0.174,0.249,0.301,19.062
EP ,EP 7,700,2/26/2017,2,0.1603,0.2397,0.331,17.431
EP ,EP 6,700,2/26/2017,2,0.1426,0.2113,0.325,18.542
HP ,HP 6,700,2/26/2017,2,0.1564,0.2642,0.408,19.1
HP ,HP 11,700,2/26/2017,2,0.1358,0.2255,0.398,17.498
HP ,HP 2,700,2/26/2017,2,0.1441,0.2515,0.427,19.115
IP ,IP 3,700,2/26/2017,2,0.1505,0.2471,0.391,19.586
IP ,IP 4,700,2/26/2017,2,0.1338,0.2113,0.367,15.1
IP ,IP 9,700,2/26/2017,2,0.1319,0.2098,0.371,14.236
JP ,JP 12,700,2/26/2017,2,0.1578,0.2235,0.294,17.528
JP ,JP 3,700,2/26/2017,2,0.1848,0.2745,0.327,16.44
JP ,JP 10,700,2/26/2017,2,0.1824,0.2554,0.286,16.876
KP ,KP 1,700,2/26/2017,2,0.1392,0.2172,0.359,18.595
KP ,KP 11,700,2/26/2017,2,0.1309,0.2098,0.376,16.204
KP ,KP 4,700,2/26/2017,2,0.1564,0.2417,0.353,19.111
DP ,DP 1,1000,2/26/2017,2,0.1525,0.2176,0.3,19.251
DP ,DP 8,1000,2/26/2017,2,0.1417,0.2034,0.304,20.476
DP ,DP 5,1000,2/26/2017,2,0.1676,0.2446,0.315,20.389
EP ,EP 1,1000,2/26/2017,2,0.1642,0.2284,0.281,19.412
EP ,EP 8,1000,2/26/2017,2,0.1402,0.1961,0.285,18.958
EP ,EP 9,1000,2/26/2017,2,0.1662,0.2485,0.331,18.404
HP ,HP 8,1000,2/26/2017,2,0.1387,0.226,0.386,17.838
HP ,HP 7,1000,2/26/2017,2,0.1353,0.2314,0.415,17.501
HP ,HP 12,1000,2/26/2017,2,0.1618,0.2642,0.388,17.773
IP ,IP 8,1000,2/26/2017,2,0.1529,0.2358,0.351,16.559
IP ,IP 11,1000,2/26/2017,2,0.1441,0.2333,0.382,15.684
IP ,IP 1,1000,2/26/2017,2,0.148,0.2265,0.346,16.694
JP ,JP 11,1000,2/26/2017,2,0.1735,0.2632,0.341,17.732
JP ,JP 8,1000,2/26/2017,2,0.1343,0.2103,0.361,17.157
JP ,JP 5,1000,2/26/2017,2,0.1632,0.2559,0.362,17.644
KP ,KP 12,1000,2/26/2017,2,0.1451,0.223,0.349,16.62
KP ,KP 9,1000,2/26/2017,2,0.1343,0.2098,0.36,16.423
KP ,KP 6,1000,2/26/2017,2,0.1426,0.223,0.36,19.269
,DP 12,100,3/6/2017,3,0.1779,0.2681,0.336,
,DP 4,100,3/6/2017,3,0.1392,0.2191,0.365,
,DP 2,100,3/6/2017,3,0.1574,0.252,0.375,
,EP 12,100,3/6/2017,3,0.177,0.2706,0.346,
,EP 2,100,3/6/2017,3,0.1314,0.2103,0.375,
,EP 4,100,3/6/2017,3,0.1441,0.2328,0.381,
,HP 3,100,3/6/2017,3,0.1745,0.3382,0.484,
,HP 1,100,3/6/2017,3,0.1569,0.2887,0.457,
,HP 10,100,3/6/2017,3,0.1789,0.3206,0.442,
,IP 13,100,3/6/2017,3,0.1642,0.2873,0.428,
