Colony,Fragment,Treatment,Date,Time,F,Fm',Y(II),Buoyant
KP ,KP 8,400,3/6/2017,3,0.1868,0.3083,0.394,
KP ,KP 7,400,3/6/2017,3,0.152,0.2608,0.417,
KP ,KP 3,400,3/6/2017,3,0.1775,0.3118,0.431,
DP ,DP 10,700,3/6/2017,3,0.1574,0.2098,0.25,
DP ,DP 11,700,3/6/2017,3,0.1725,0.2319,0.256,
DP ,DP 7,700,3/6/2017,3,0.1412,0.1951,0.276,
EP ,EP 5,700,3/6/2017,3,0.1765,0.2289,0.229,
EP ,EP 7,700,3/6/2017,3,0.1559,0.2137,0.271,
EP ,EP 6,700,3/6/2017,3,0.1353,0.1882,0.281,
HP ,HP 6,700,3/6/2017,3,0.1725,0.2828,0.39,
HP ,HP 11,700,3/6/2017,3,0.1466,0.2407,0.391,
HP ,HP 2,700,3/6/2017,3,0.149,0.248,0.399,
IP ,IP 3,700,3/6/2017,3,0.1706,0.2887,0.409,
IP ,IP 4,700,3/6/2017,3,0.1471,0.2348,0.374,
IP ,IP 9,700,3/6/2017,3,0.1505,0.2431,0.381,
JP ,JP 12,700,3/6/2017,3,0.1559,0.2529,0.384,
JP ,JP 3,700,3/6/2017,3,0.1505,0.2363,0.363,
JP ,JP 10,700,3/6/2017,3,0.1662,0.2569,0.353,
KP ,KP 1,700,3/6/2017,3,0.1691,0.2608,0.352,
KP ,KP 11,700,3/6/2017,3,0.1451,0.2235,0.351,
KP ,KP 4,700,3/6/2017,3,0.1662,0.2603,0.362,
DP ,DP 1,1000,3/6/2017,3,0.1608,0.2103,0.235,
DP ,DP 8,1000,3/6/2017,3,0.1363,0.1828,0.255,
DP ,DP 5,1000,3/6/2017,3,0.1417,0.2005,0.293,
EP ,EP 1,1000,3/6/2017,3,0.1662,0.2593,0.359,
EP ,EP 8,1000,3/6/2017,3,0.1422,0.2196,0.353,
EP ,EP 9,1000,3/6/2017,3,0.1583,0.2578,0.386,
HP ,HP 8,1000,3/6/2017,3,0.1681,0.277,0.393,
HP ,HP 7,1000,3/6/2017,3,0.1529,0.251,0.391,
HP ,HP 12,1000,3/6/2017,3,0.1495,0.2382,0.372,
IP ,IP 8,1000,3/6/2017,3,0.1353,0.2069,0.346,
IP ,IP 11,1000,3/6/2017,3,0.1363,0.2172,0.372,
IP ,IP 1,1000,3/6/2017,3,0.1333,0.1985,0.328,
JP ,JP 11,1000,3/6/2017,3,0.1716,0.2534,0.323,
JP ,JP 8,1000,3/6/2017,3,0.1436,0.2137,0.328,
JP ,JP 5,1000,3/6/2017,3,0.1662,0.252,0.34,
KP ,KP 12,1000,3/6/2017,3,0.1353,0.2069,0.346,
KP ,KP 9,1000,3/6/2017,3,0.1363,0.2172,0.372,
KP ,KP 6,1000,3/6/2017,3,0.1333,0.1985,0.328,
DP ,DP 12,100,3/27/2017,4,0.1853,0.3147,0.411,
DP ,DP 4,100,3/27/2017,4,0.1358,0.2466,0.449,
DP ,DP 2,100,3/27/2017,4,0.1475,0.2618,0.436,
EP ,EP 12,100,3/27/2017,4,0.1603,0.2936,0.454,
EP ,EP 2,100,3/27/2017,4,0.1495,0.2735,0.453,
EP ,EP 4,100,3/27/2017,4,0.1529,0.2721,0.438,
HP ,HP 3,100,3/27/2017,4,0.1838,0.2971,0.381,
HP ,HP 1,100,3/27/2017,4,0.1441,0.2363,0.39,
HP ,HP 10,100,3/27/2017,4,0.1652,0.2951,0.44,
IP ,IP 13,100,3/27/2017,4,0.1775,0.4069,0.564,
IP ,IP 6,100,3/27/2017,4,0.1397,0.3181,0.561,
IP ,IP 2,100,3/27/2017,4,0.1647,0.3711,0.556,
JP ,JP 7,100,3/27/2017,4,0.1824,0.3632,0.498,
JP ,JP 1,100,3/27/2017,4,0.1417,0.2922,0.515,
JP ,JP 6,100,3/27/2017,4,0.1691,0.3314,0.49,
KP ,KP 5,100,3/27/2017,4,0.1583,0.3618,0.562,
KP ,KP 2,100,3/27/2017,4,0.1412,0.2882,0.51,
KP ,KP 10,100,3/27/2017,4,0.1632,0.3309,0.507,
DP ,DP 6,400,3/27/2017,4,0.198,0.3162,0.374,
DP ,DP 3,400,3/27/2017,4,0.1417,0.2574,0.45,
DP ,DP 9,400,3/27/2017,4,0.1745,0.2779,0.372,
EP ,EP 10,400,3/27/2017,4,0.1176,0.1995,0.41,
EP ,EP 3,400,3/27/2017,4,0.152,0.2529,0.399,
EP ,EP 11,400,3/27/2017,4,0.1387,0.2397,0.421,
HP ,HP 4,400,3/27/2017,4,0.2,0.3897,0.487,
HP ,HP 9,400,3/27/2017,4,0.1309,0.2407,0.456,
HP ,HP 5,400,3/27/2017,4,0.1789,0.3515,0.491,
IP ,IP 7,400,3/27/2017,4,0.1054,0.198,0.468,
IP ,IP 10,400,3/27/2017,4,0.1431,0.2799,0.489,
IP ,IP 5,400,3/27/2017,4,0.1725,0.3265,0.471,
JP ,JP 2,400,3/27/2017,4,0.176,0.4167,0.578,
JP ,JP 9,400,3/27/2017,4,0.1363,0.3015,0.548,
JP ,JP 4,400,3/27/2017,4,0.1603,0.3515,0.544,
KP ,KP 8,400,3/27/2017,4,0.1814,0.3314,0.453,
KP ,KP 7,400,3/27/2017,4,0.1495,0.2721,0.45,
KP ,KP 3,400,3/27/2017,4,0.1446,0.2799,0.483,
DP ,DP 10,700,3/27/2017,4,0.1716,0.2676,0.359,
DP ,DP 11,700,3/27/2017,4,0.1603,0.249,0.356,
DP ,DP 7,700,3/27/2017,4,0.176,0.2569,0.315,
EP ,EP 5,700,3/27/2017,4,0.173,0.2485,0.304,
EP ,EP 7,700,3/27/2017,4,0.1431,0.2216,0.354,
EP ,EP 6,700,3/27/2017,4,0.1343,0.1902,0.294,
HP ,HP 6,700,3/27/2017,4,0.1593,0.2902,0.451,
HP ,HP 11,700,3/27/2017,4,0.1475,0.2549,0.421,
HP ,HP 2,700,3/27/2017,4,0.1559,0.2672,0.417,
IP ,IP 3,700,3/27/2017,4,0.1338,0.2574,0.48,
IP ,IP 4,700,3/27/2017,4,0.1029,0.199,0.483,
IP ,IP 9,700,3/27/2017,4,0.1245,0.2275,0.453,
JP ,JP 12,700,3/27/2017,4,0.1392,0.2422,0.425,
JP ,JP 3,700,3/27/2017,4,0.1637,0.298,0.451,
JP ,JP 10,700,3/27/2017,4,0.1441,0.2525,0.429,
KP ,KP 1,700,3/27/2017,4,0.1824,0.3284,0.445,
KP ,KP 11,700,3/27/2017,4,0.1662,0.2868,0.421,
KP ,KP 4,700,3/27/2017,4,0.1353,0.2441,0.446,
DP ,DP 1,1000,3/27/2017,4,0.1544,0.2328,0.337,
DP ,DP 8,1000,3/27/2017,4,0.1691,0.2294,0.263,
DP ,DP 5,1000,3/27/2017,4,0.177,0.2799,0.368,
EP ,EP 1,1000,3/27/2017,4,0.1279,0.1912,0.331,
EP ,EP 8,1000,3/27/2017,4,0.1544,0.2319,0.334,
EP ,EP 9,1000,3/27/2017,4,0.1583,0.2123,0.254,
HP ,HP 8,1000,3/27/2017,4,0.1471,0.25,0.412,
HP ,HP 7,1000,3/27/2017,4,0.1387,0.2373,0.415,
HP ,HP 12,1000,3/27/2017,4,0.1456,0.2426,0.4,
IP ,IP 8,1000,3/27/2017,4,0.1833,0.3564,0.486,
IP ,IP 11,1000,3/27/2017,4,0.1525,0.3044,0.499,
IP ,IP 1,1000,3/27/2017,4,0.1799,0.348,0.483,
JP ,JP 11,1000,3/27/2017,4,0.148,0.2603,0.431,
JP ,JP 8,1000,3/27/2017,4,0.173,0.2877,0.399,
JP ,JP 5,1000,3/27/2017,4,0.1833,0.3206,0.428,
KP ,KP 12,1000,3/27/2017,4,0.1922,0.2971,0.353,
KP ,KP 9,1000,3/27/2017,4,0.1314,0.227,0.421,
KP ,KP 6,1000,3/27/2017,4,0.1794,0.3363,0.466,
DP ,DP 12,100,4/6/2017,5,0.1824,0.3221,0.434,
DP ,DP 4,100,4/6/2017,5,0.1529,0.2681,0.43,
DP ,DP 2,100,4/6/2017,5,0.1441,0.2515,0.427,
EP ,EP 12,100,4/6/2017,5,0.1814,0.3407,0.468,
EP ,EP 2,100,4/6/2017,5,0.1475,0.2745,0.463,
EP ,EP 4,100,4/6/2017,5,0.1936,0.3377,0.427,
HP ,HP 3,100,4/6/2017,5,0.1593,0.3392,0.53,
HP ,HP 1,100,4/6/2017,5,0.1598,0.3005,0.468,
HP ,HP 10,100,4/6/2017,5,0.148,0.2819,0.475,
IP ,IP 13,100,4/6/2017,5,0.1387,0.2985,0.535,
IP ,IP 6,100,4/6/2017,5,0.1725,0.3436,0.498,
IP ,IP 2,100,4/6/2017,5,0.1848,0.3608,0.488,
JP ,JP 7,100,4/6/2017,5,0.1353,0.2461,0.45,
JP ,JP 1,100,4/6/2017,5,0.1863,0.3451,0.46,
JP ,JP 6,100,4/6/2017,5,0.1608,0.2652,0.394,
KP ,KP 5,100,4/6/2017,5,0.1485,0.3108,0.522,
KP ,KP 2,100,4/6/2017,5,0.1333,0.2441,0.454,
KP ,KP 10,100,4/6/2017,5,0.1598,0.2995,0.466,
DP ,DP 6,400,4/6/2017,5,0.1863,0.2907,0.359,
DP ,DP 3,400,4/6/2017,5,0.1387,0.2206,0.371,
DP ,DP 9,400,4/6/2017,5,0.1618,0.2441,0.337,
EP ,EP 10,400,4/6/2017,5,0.1397,0.2167,0.355,
EP ,EP 3,400,4/6/2017,5,0.1588,0.2387,0.335,
EP ,EP 11,400,4/6/2017,5,0.1549,0.2402,0.355,
HP ,HP 4,400,4/6/2017,5,0.1951,0.3525,0.446,
HP ,HP 9,400,4/6/2017,5,0.1471,0.2574,0.429,
HP ,HP 5,400,4/6/2017,5,0.1618,0.2784,0.419,
IP ,IP 7,400,4/6/2017,5,,,,
IP ,IP 10,400,4/6/2017,5,0.1554,0.2858,0.456,
IP ,IP 5,400,4/6/2017,5,0.1475,0.273,0.46,
JP ,JP 2,400,4/6/2017,5,0.1833,0.3382,0.458,
JP ,JP 9,400,4/6/2017,5,0.173,0.2946,0.413,
JP ,JP 4,400,4/6/2017,5,0.1598,0.2833,0.436,
KP ,KP 8,400,4/6/2017,5,0.1672,0.3039,0.45,
KP ,KP 7,400,4/6/2017,5,0.1446,0.2667,0.458,
KP ,KP 3,400,4/6/2017,5,0.152,0.3113,0.512,
DP ,DP 10,700,4/6/2017,5,0.1721,0.2412,0.287,
DP ,DP 11,700,4/6/2017,5,0.1417,0.202,0.299,
DP ,DP 7,700,4/6/2017,5,0.1588,0.2201,0.278,
EP ,EP 5,700,4/6/2017,5,0.1735,0.2417,0.282,
EP ,EP 7,700,4/6/2017,5,0.1505,0.2373,0.366,
EP ,EP 6,700,4/6/2017,5,0.1402,0.2059,0.319,
HP ,HP 6,700,4/6/2017,5,0.1559,0.2725,0.428,
HP ,HP 11,700,4/6/2017,5,0.1431,0.2446,0.415,
HP ,HP 2,700,4/6/2017,5,0.1529,0.2588,0.409,
IP ,IP 3,700,4/6/2017,5,0.1922,0.3515,0.453,
IP ,IP 4,700,4/6/2017,5,0.1529,0.2779,0.45,
IP ,IP 9,700,4/6/2017,5,0.1588,0.2843,0.441,
JP ,JP 12,700,4/6/2017,5,0.1431,0.2515,0.431,
JP ,JP 3,700,4/6/2017,5,0.1917,0.3407,0.437,
JP ,JP 10,700,4/6/2017,5,0.1725,0.3034,0.431,
KP ,KP 1,700,4/6/2017,5,0.1892,0.327,0.421,
KP ,KP 11,700,4/6/2017,5,0.1863,0.3098,0.399,
KP ,KP 4,700,4/6/2017,5,0.1564,0.2672,0.415,
DP ,DP 1,1000,4/6/2017,5,0.1941,0.2975,0.348,
DP ,DP 8,1000,4/6/2017,5,0.1529,0.224,0.317,
DP ,DP 5,1000,4/6/2017,5,0.1343,0.2294,0.415,
EP ,EP 1,1000,4/6/2017,5,0.1838,0.2676,0.313,
EP ,EP 8,1000,4/6/2017,5,0.1809,0.2412,0.25,
EP ,EP 9,1000,4/6/2017,5,0.1407,0.1931,0.272,
HP ,HP 8,1000,4/6/2017,5,0.1696,0.2794,0.393,
HP ,HP 7,1000,4/6/2017,5,0.1392,0.2373,0.413,
HP ,HP 12,1000,4/6/2017,5,0.1387,0.2319,0.402,
IP ,IP 8,1000,4/6/2017,5,0.1667,0.2887,0.423,
IP ,IP 11,1000,4/6/2017,5,0.1529,0.2828,0.459,
IP ,IP 1,1000,4/6/2017,5,0.1627,0.3049,0.466,
JP ,JP 11,1000,4/6/2017,5,0.1721,0.2799,0.385,
JP ,JP 8,1000,4/6/2017,5,0.1422,0.2377,0.402,
JP ,JP 5,1000,4/6/2017,5,0.1539,0.2485,0.381,
KP ,KP 12,1000,4/6/2017,5,0.1804,0.2686,0.328,
KP ,KP 9,1000,4/6/2017,5,0.1338,0.2162,0.381,
KP ,KP 6,1000,4/6/2017,5,0.1417,0.2343,0.395,
DP ,DP 12,100,4/12/2017,6,0.1814,0.3162,0.426,
DP ,DP 4,100,4/12/2017,6,0.1578,0.3284,0.519,
DP ,DP 2,100,4/12/2017,6,0.1779,0.3397,0.476,
EP ,EP 12,100,4/12/2017,6,0.1328,0.2544,0.478,
EP ,EP 2,100,4/12/2017,6,0.1338,0.2559,0.477,
EP ,EP 4,100,4/12/2017,6,0.1515,0.275,0.449,
HP ,HP 3,100,4/12/2017,6,0.1426,0.3402,0.581,
HP ,HP 1,100,4/12/2017,6,0.1505,0.3319,0.547,
HP ,HP 10,100,4/12/2017,6,0.1392,0.2971,0.531,
IP ,IP 13,100,4/12/2017,6,0.1373,0.3123,0.56,
IP ,IP 6,100,4/12/2017,6,0.1574,0.3373,0.533,
IP ,IP 2,100,4/12/2017,6,0.1456,0.3319,0.561,
JP ,JP 7,100,4/12/2017,6,0.1368,0.2735,0.5,
JP ,JP 1,100,4/12/2017,6,0.1348,0.2946,0.542,
JP ,JP 6,100,4/12/2017,6,0.1588,0.2838,0.44,
KP ,KP 5,100,4/12/2017,6,0.1363,0.2931,0.535,
KP ,KP 2,100,4/12/2017,6,0.1304,0.2618,0.502,
KP ,KP 10,100,4/12/2017,6,0.15,0.3044,0.507,
DP ,DP 6,400,4/12/2017,6,0.1426,0.2074,0.312,
DP ,DP 3,400,4/12/2017,6,0.1426,0.2206,0.353,
DP ,DP 9,400,4/12/2017,6,0.1529,0.2113,0.276,
EP ,EP 10,400,4/12/2017,6,0.175,0.2858,0.388,
EP ,EP 3,400,4/12/2017,6,0.1745,0.2892,0.397,
EP ,EP 11,400,4/12/2017,6,0.1725,0.2647,0.348,
HP ,HP 4,400,4/12/2017,6,0.1373,0.2294,0.402,
HP ,HP 9,400,4/12/2017,6,0.1363,0.2191,0.378,
HP ,HP 5,400,4/12/2017,6,0.1456,0.2466,0.41,
IP ,IP 7,400,4/12/2017,6,,,,
IP ,IP 10,400,4/12/2017,6,0.1578,0.2877,0.451,
IP ,IP 5,400,4/12/2017,6,0.1471,0.2559,0.425,
JP ,JP 2,400,4/12/2017,6,0.1569,0.274,0.428,
JP ,JP 9,400,4/12/2017,6,0.1618,0.2417,0.331,
JP ,JP 4,400,4/12/2017,6,0.1417,0.2426,0.416,
KP ,KP 8,400,4/12/2017,6,0.1485,0.2377,0.375,
KP ,KP 7,400,4/12/2017,6,0.1338,0.2098,0.362,
KP ,KP 3,400,4/12/2017,6,0.1471,0.2672,0.45,
DP ,DP 10,700,4/12/2017,6,0.1696,0.2652,0.36,
DP ,DP 11,700,4/12/2017,6,0.1363,0.2314,0.411,
DP ,DP 7,700,4/12/2017,6,0.15,0.2358,0.364,
EP ,EP 5,700,4/12/2017,6,0.15,0.2333,0.357,
EP ,EP 7,700,4/12/2017,6,0.1554,0.2373,0.345,
EP ,EP 6,700,4/12/2017,6,0.1471,0.2426,0.394,
HP ,HP 6,700,4/12/2017,6,0.1309,0.2539,0.485,
HP ,HP 11,700,4/12/2017,6,0.1324,0.2279,0.419,
HP ,HP 2,700,4/12/2017,6,0.1397,0.2456,0.431,
IP ,IP 3,700,4/12/2017,6,0.1436,0.2505,0.427,
IP ,IP 4,700,4/12/2017,6,0.1289,0.2225,0.421,
IP ,IP 9,700,4/12/2017,6,0.1475,0.2461,0.4,
JP ,JP 12,700,4/12/2017,6,0.1676,0.2941,0.43,
JP ,JP 3,700,4/12/2017,6,0.1608,0.2951,0.455,
JP ,JP 10,700,4/12/2017,6,0.1598,0.2863,0.442,
KP ,KP 1,700,4/12/2017,6,0.1549,0.2779,0.443,
KP ,KP 11,700,4/12/2017,6,0.1755,0.3005,0.416,
KP ,KP 4,700,4/12/2017,6,0.1564,0.2725,0.426,
DP ,DP 1,1000,4/12/2017,6,0.1343,0.1868,0.281,
DP ,DP 8,1000,4/12/2017,6,0.1382,0.1701,0.187,
DP ,DP 5,1000,4/12/2017,6,0.1387,0.2064,0.328,
EP ,EP 1,1000,4/12/2017,6,0.1407,0.2005,0.298,
EP ,EP 8,1000,4/12/2017,6,0.1657,0.2456,0.325,
EP ,EP 9,1000,4/12/2017,6,0.1525,0.2132,0.285,
HP ,HP 8,1000,4/12/2017,6,0.1441,0.2358,0.389,
HP ,HP 7,1000,4/12/2017,6,0.1549,0.2515,0.384,
HP ,HP 12,1000,4/12/2017,6,0.1613,0.2363,0.317,
IP ,IP 8,1000,4/12/2017,6,0.1426,0.2515,0.433,
IP ,IP 11,1000,4/12/2017,6,0.1598,0.2691,0.406,
IP ,IP 1,1000,4/12/2017,6,0.1711,0.2848,0.399,
JP ,JP 11,1000,4/12/2017,6,0.1299,0.224,0.42,
JP ,JP 8,1000,4/12/2017,6,0.1319,0.2191,0.398,
JP ,JP 5,1000,4/12/2017,6,0.1505,0.2466,0.39,
KP ,KP 12,1000,4/12/2017,6,0.1471,0.2324,0.367,
KP ,KP 9,1000,4/12/2017,6,0.1583,0.2623,0.396,
KP ,KP 6,1000,4/12/2017,6,0.1289,0.2147,0.4,
